Year,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole
1982,Georgia,,0.296,0.289,,1169041,3945107,4047788,0.011,14405,78097,4897
1982,Hawaii,0.485,0.465,0.431,325459,311853,671172,724189,0.071,1461,0,0
1982,Idaho,0.511,0.502,0.493,332237,326522,650534,662251,0.016,1044,0,0
1982,Illinois,0.488,0.465,0.443,3856875,3673681,7908220,8284606,0.044,14293,0,0
1982,Indiana,0.473,0.468,0.463,1834225,1817287,3879314,3921907,0.009,8790,0,0
1982,Iowa,0.508,0.502,0.496,1050495,1038229,2068844,2094031,0.008,2829,10625,1050
1982,Kansas,,0.44,0.433,,763263,1736298,1761238,0.012,3078,0,0
1982,Kentucky,,0.268,0.265,,700322,2615445,2642810,0.005,4031,14516,3430
1982,Louisiana,,,,,,2982702,3029834,0.012,10930,0,0
1982,Maine,,0.563,0.555,,460295,817814,828907,0.013,0,0,0
1982,Maryland,0.392,0.375,0.359,1190011,1139149,3034834,3174995,0.03,11617,52603,6024
1982,Massachusetts,0.503,0.49,0.469,2103780,2050769,4184146,4375262,0.044,0,0,0
1982,Michigan,0.493,0.478,0.468,3135928,3040008,6357552,6498711,0.019,14913,0,0
1982,Minnesota,0.623,0.613,0.603,1834737,1804675,2943169,2993256,0.011,2081,24320,1479
1982,Mississippi,,0.37,0.366,,645026,1743267,1762406,0.004,5484,6304,2914
1982,Missouri,,0.433,0.427,,1543521,3567803,3615526,0.007,7445,21637,2556
1982,Montana,0.576,0.564,0.559,328082,321062,569629,574592,0.007,914,0,0
1982,Nebraska,0.496,0.485,0.478,559422,547902,1128918,1145316,0.008,1739,9964,309
1982,Nevada,0.391,0.387,0.367,242578,240394,621060,655823,0.044,2753,4733,1065
1982,New Hampshire,0.421,0.412,0.405,289057,282588,686264,698424,0.017,445,0,0
1982,New Jersey,0.438,0.42,0.394,2286925,2193945,5224732,5563627,0.054,8191,38186,10514
1982,New Mexico,0.455,0.443,0.429,417945,407466,919311,949133,0.026,1718,3854,1206
1982,New York,0.449,0.434,0.4,5437367,5254891,12118685,13150573,0.075,27945,0,21062
1982,North Carolina,,0.304,0.298,,1321080,4347870,4427095,0.008,16569,44274,6910
1982,North Dakota,0.572,0.55,0.546,272876,262465,476851,480367,0.007,322,0,0
1982,Ohio,0.462,0.441,0.436,3551995,3395463,7692059,7793022,0.011,17317,0,0
1982,Oklahoma,0.391,0.384,0.376,901488,883130,2302670,2346265,0.012,6500,14749,1858
1982,Oregon,0.561,0.55,0.535,1063913,1042009,1895706,1946116,0.024,3900,0,0
1982,Pennsylvania,,0.421,0.415,,3683985,8749931,8869173,0.012,10508,0,0
1982,Rhode Island,0.542,0.5,0.474,370928,342779,684977,723060,0.046,1037,6501,327
1982,South Carolina,0.304,0.297,0.292,688300,671625,2260577,2297223,0.007,9137,16981,3175
1982,South Dakota,,0.569,0.566,,278562,489474,492367,0.004,791,0,0
