,academic_year,inst_name,city,state,zipcode,sector
46951,2008,Midway Paris Beauty School,Ridgewood,NY,11385,9
52274,2008,Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697,2
31436,2008,Midwestern State University,Wichita Falls,TX,76308-2099,1
13657,2008,Mifflin-Juniata Career and Technology Center,Lewistown,PA,17044,7
78884,2008,Miles College,Fairfield,AL,35064,2
51348,2008,Miles Community College,Miles City,MT,59301-4774,4
37081,2008,Millersville University of Pennsylvania,Millersville,PA,17551-0302,1
33466,2008,Milligan College,Milligan College,TN,37682,2
64896,2008,Millikin University,Decatur,IL,62522-2084,2
74169,2008,Mills College,Oakland,CA,94613,2
53346,2008,Millsaps College,Jackson,MS,39210-0001,2
26499,2008,Milwaukee Area Technical College,Milwaukee,WI,53233-1443,4
26469,2008,Milwaukee School of Engineering,Milwaukee,WI,53202-3109,2
31423,2008,Mims Classic Beauty College,San Antonio,TX,78216-8216,9
52261,2008,Mineral Area College,Park Hills,MO,63601-1000,4
54220,2008,Minneapolis Business College,Roseville,MN,55113-0000,6
54207,2008,Minneapolis College of Art and Design,Minneapolis,MN,55404,2
54194,2008,Minneapolis Community and Technical College,Minneapolis,MN,55403-1779,4
54450,2008,Minnesota State Community and Technical College,Fergus Falls,MN,56537-1000,4
54295,2008,Minnesota State University-Mankato,Mankato,MN,56001,1
83655,2008,Minnesota West Community and Technical College,Granite Falls,MN,56241,4
46937,2008,Mirrer Yeshiva Cent Institute,Brooklyn,NY,11223-2010,2
53255,2008,Mississippi College of Beauty Culture,Laurel,MS,39440,9
53268,2008,Mississippi College,Clinton,MS,39058,2
53320,2008,Mississippi Delta Community College,Moorhead,MS,38761,4
53242,2008,Mississippi Gulf Coast Community College,Perkinston,MS,39573,4
53229,2008,Mississippi State University,Mississippi State,MS,39762,1
53294,2008,Mississippi University for Women,Columbus,MS,39701,1
53281,2008,Mississippi Valley State University,Itta Bena,MS,38941-1400,1
52235,2008,Missouri Baptist University,Saint Louis,MO,63141-8698,2
